CurrencyPair,Rate,AsOfDate
BIF/CHF,115.87,06/02/2021 22:49:51
SZL/LKR,189.49,05/14/2022 02:49:57
RWF/BWP,324.65,07/18/2023 02:05:00
ERN/XFU,15.42,08/02/2022 04:47:51
SYP/MVR,217.58,01/30/2023 03:03:58
XAF/LSL,551.07,04/04/2021 06:47:20
EEK/HTG,765.90,03/18/2022 23:31:48
BIF/LTL,608.93,05/23/2022 11:28:09
ISK/XAG,271.14,07/07/2022 11:34:27
NIO/KRW,449.27,11/01/2021 03:17:21
GNF/STN,663.92,09/24/2021 18:22:09
MNT/MKD,817.52,12/09/2021 19:48:14
LVL/KMF,224.78,04/05/2022 11:03:22
BBD/SAR,976.58,04/20/2023 01:22:31
STN/YER,412.87,03/25/2023 04:26:58
JPY/SYP,7.67,08/31/2023 01:47:39
TTD/XPT,188.52,02/25/2021 22:06:06
BSD/FJD,138.99,07/23/2023 17:45:59
PHP/XAU,215.69,11/25/2022 04:06:18
IQD/RWF,39.50,07/13/2023 06:18:11
MGA/SGD,981.60,07/28/2022 18:56:56
MXN/HNL,939.18,08/16/2021 11:03:37
MGA/ALL,352.14,03/28/2023 03:59:42
LBP/UGX,324.21,06/22/2022 06:06:52
CUC/ZWL,78.09,06/02/2021 11:33:12
XAF/SGD,321.88,05/15/2021 10:14:04
XPF/BAM,412.87,11/19/2021 18:22:43
IDR/AFN,830.17,02/03/2022 16:53:05
RWF/IDR,727.34,02/11/2021 15:47:14
SLL/GNF,790.99,12/11/2021 23:37:07
HRK/ZMK,634.68,06/27/2023 19:41:15
TOP/IRR,914.55,06/24/2023 23:58:08
SRD/SHP,28.16,02/25/2023 11:39:01
VUV/LTL,908.15,12/25/2022 23:29:12
ILS/USD,256.96,11/01/2022 16:49:55
PKR/AED,199.39,03/07/2022 19:02:31
BBD/MKD,310.52,08/04/2023 01:13:50
AED/LAK,404.12,09/12/2020 21:08:40
SOS/TTD,157.22,09/17/2020 13:06:57
BTN/LAK,118.36,07/01/2022 08:34:02
INR/SCR,982.87,02/22/2022 14:56:50
RON/LTL,869.60,11/07/2020 02:08:44
PYG/EGP,531.33,04/30/2021 12:03:38
UYU/RUB,750.51,04/21/2021 14:37:27
XBB/SCR,972.29,07/08/2022 16:44:11
MOP/MZN,28.48,09/02/2021 00:14:42
XBD/MVR,693.64,12/08/2022 20:57:56
UZS/SYP,528.23,09/04/2021 11:37:29
ERN/TMT,154.92,05/16/2022 01:54:06
OMR/HRK,438.13,02/07/2021 16:32:40
SLL/BND,521.10,05/11/2022 11:06:36
INR/ARS,886.02,12/20/2021 11:06:42
EUR/CAD,110.36,01/28/2023 15:33:00
ERN/UAH,469.89,04/05/2021 21:20:25
KGS/BTN,808.76,02/24/2023 15:09:24
AFN/XPF,590.65,10/13/2022 00:33:13
DOP/XOF,892.76,09/02/2022 01:38:41
FJD/MZN,747.33,08/19/2021 05:02:54
EEK/XPF,857.42,03/27/2023 16:04:53
BOB/XPD,865.15,10/01/2020 02:47:49
MDL/XDR,535.50,11/12/2022 11:16:55
QAR/SLL,134.42,01/10/2023 21:59:16
KGS/AFN,267.84,03/23/2022 23:46:37
DOP/KZT,989.18,10/18/2022 10:50:04
LKR/DJF,397.29,10/31/2020 03:39:38
GHS/BWP,152.26,02/23/2021 05:23:12
CRC/AOA,240.20,01/25/2022 01:30:52
XAG/NAD,444.38,10/28/2021 07:34:13
CVE/MOP,772.15,09/30/2020 18:26:02
GHS/AZN,152.53,06/20/2022 19:06:15
MWK/MRO,405.16,09/18/2021 13:43:04
SOS/AED,198.21,04/11/2022 17:11:13
CLP/LBP,827.85,05/07/2022 00:16:37
NGN/MUR,299.99,08/06/2022 12:02:31
CUP/SZL,118.39,06/15/2023 23:22:38
ARS/MMK,476.07,02/12/2022 20:09:27
TJS/BND,729.04,03/09/2023 11:24:26
SOS/KES,788.40,08/14/2023 08:54:43
XPF/GHS,203.72,11/19/2022 18:06:26
GIP/TWD,501.36,07/16/2022 18:16:39
AOA/SZL,512.92,12/25/2022 06:10:46
XTS/TWD,409.30,06/17/2023 08:24:03
BMD/BIF,15.66,02/27/2023 21:35:40
GBP/NAD,271.40,07/25/2021 18:19:48
HUF/ANG,564.58,02/09/2022 17:50:43
IRR/XBD,724.11,01/16/2023 15:09:40
PAB/TMT,232.46,04/18/2021 17:34:16
EEK/KES,493.58,07/27/2023 10:36:54
CUP/LBP,879.68,07/01/2022 11:05:54
XPD/BHD,321.14,01/17/2022 00:49:01
PKR/HNL,412.91,04/17/2023 12:49:22
SHP/TJS,427.72,12/20/2020 09:26:03
FJD/JOD,309.27,02/15/2022 12:00:06
PEN/BMD,699.32,03/01/2021 05:06:43
MYR/KMF,511.45,04/27/2022 12:21:41
ZWL/JPY,945.45,01/31/2022 12:12:55
DJF/CZK,19.59,04/26/2022 14:39:08
CUC/HKD,727.66,10/02/2020 13:29:31
MAD/CVE,480.40,08/07/2021 04:18:51
CHF/MAD,181.77,08/19/2023 06:37:06
CRC/ZAR,608.93,01/02/2022 09:29:59
JPY/HKD,816.71,11/30/2020 14:45:27
UGX/MAD,857.76,05/03/2022 14:19:07
MUR/BDT,291.01,08/21/2022 13:19:12
UYU/KYD,440.04,06/11/2021 19:13:34
MOP/SGD,843.43,06/13/2021 00:37:21
RWF/DKK,505.11,09/06/2021 15:45:05
SYP/ANG,423.88,11/15/2021 08:59:18
XPF/PEN,642.32,04/30/2021 07:42:58
LAK/MUR,997.92,04/07/2023 01:35:50
GYD/CAD,10.20,09/10/2023 07:26:27
ZMK/BMD,610.41,04/01/2023 01:10:03
ETB/PAB,486.67,04/06/2022 22:33:53
DOP/BOB,498.19,08/30/2021 09:01:42
KHR/CUP,841.37,11/02/2021 18:07:49
UYU/UYU,464.17,01/17/2022 07:39:55
KRW/XCD,424.68,02/14/2022 01:18:48
KRW/SDG,280.41,02/12/2022 19:37:04
KMF/PAB,20.53,02/20/2022 03:37:57
XBC/NGN,319.53,06/01/2021 10:10:21
ARS/SRD,118.85,07/11/2022 19:05:33
XAU/IRR,709.14,04/16/2023 11:42:18
RSD/BND,672.89,11/22/2020 21:21:22
COP/COP,9.18,03/09/2021 06:09:29
XCD/AWG,427.94,07/15/2021 19:53:59
MRO/BND,466.49,03/23/2023 16:33:58
MWK/GYD,570.90,05/09/2021 11:56:30
RSD/USD,17.07,09/21/2020 08:46:06
SHP/SRD,14.05,08/24/2022 11:27:18
RSD/GTQ,874.23,03/12/2022 23:53:03
MOP/UGX,867.11,07/17/2023 23:11:45
BHD/TMT,988.08,05/23/2022 06:44:06
PYG/MMK,403.66,01/27/2023 20:49:49
GIP/LBP,994.55,08/24/2023 13:06:19
SAR/SEK,283.81,09/02/2023 01:04:27
PEN/TJS,596.53,06/17/2022 16:20:14
IQD/CUP,885.46,07/14/2023 20:24:27
STN/FJD,896.67,07/05/2023 04:26:21
ISK/XBC,162.03,01/10/2021 19:33:09
KPW/COP,630.37,05/21/2023 18:00:06
BZD/SLL,213.83,02/01/2023 15:17:25
LTL/IQD,621.60,04/29/2021 13:30:23
FKP/TOP,867.73,03/19/2023 21:27:09
LTL/NOK,324.46,11/17/2021 12:43:20
AFN/TJS,702.45,05/06/2021 02:33:51
SHP/BIF,270.72,05/04/2021 23:28:13
PYG/NGN,751.56,08/23/2023 08:30:24
HTG/TOP,499.42,09/26/2020 16:07:53
CUP/CNY,272.38,10/12/2021 10:19:34
KZT/VND,99.58,03/22/2023 03:48:22
GBP/SLL,189.40,05/16/2021 00:26:18
SBD/UAH,882.69,01/27/2022 03:31:22
BWP/VUV,397.13,10/31/2021 03:41:14
GIP/XBA,697.18,03/08/2021 23:10:39
BHD/BTN,264.33,03/17/2022 11:14:48
LKR/GBP,683.48,04/12/2021 11:05:37
QAR/PLN,655.35,03/08/2021 21:42:00
XFU/IRR,996.85,06/18/2021 00:45:53
LBP/ZAR,75.88,06/03/2022 23:08:40
ZWL/PYG,630.97,06/03/2022 01:09:44
AFN/SVC,735.00,09/06/2022 09:55:03
XAG/BMD,521.19,06/09/2022 09:42:18
CRC/BMD,690.98,05/06/2021 02:45:48
XAG/PHP,180.98,10/21/2020 14:22:35
DOP/XFU,576.34,08/01/2021 15:14:04
CUC/PHP,685.72,05/19/2022 04:10:55
AOA/CAD,374.66,11/03/2022 18:43:36
KGS/IQD,214.35,11/01/2020 23:28:47
KYD/BAM,270.58,03/25/2023 08:48:07
SBD/HRK,740.97,10/30/2022 01:44:07
XAF/TRY,302.58,06/25/2021 21:31:24
XBC/EEK,60.64,04/03/2021 08:36:44
MNT/XTS,739.81,04/27/2021 14:10:11
KRW/AUD,275.25,07/29/2023 13:50:07
BOB/SVC,198.90,04/27/2022 14:08:47
KZT/MUR,623.88,05/02/2021 17:59:20
AMD/SOS,326.70,10/23/2022 15:56:59
HKD/JMD,504.89,03/23/2022 16:27:32
SBD/ZWL,988.40,12/29/2022 00:30:38
DKK/ETB,314.32,04/15/2023 00:07:52
BYR/ZWL,441.54,04/04/2022 06:12:44
BOB/ILS,964.74,03/22/2021 03:02:01
GYD/XCD,316.05,03/16/2022 12:35:35
AED/BGN,566.97,10/18/2020 10:10:28
ARS/EEK,921.09,01/16/2021 08:39:24
THB/SHP,146.55,10/09/2022 23:45:26
XPF/XPF,474.35,05/11/2021 11:59:22
MRO/AED,484.87,07/06/2023 06:49:02
JMD/TMT,506.21,12/07/2021 06:26:13
PHP/CHF,687.34,10/18/2021 11:35:41
BTN/TMT,591.25,04/23/2022 16:28:20
CDF/BAM,540.23,05/25/2022 07:00:28
LKR/KRW,143.24,11/19/2020 21:13:59
LKR/BAM,32.29,07/13/2021 06:31:53
CNY/DKK,764.57,07/20/2022 16:08:54
BMD/SBD,626.60,05/12/2021 18:41:50
PYG/PYG,561.86,04/09/2023 08:56:35
CVE/SVC,8.63,08/17/2021 22:05:59
PHP/WST,643.25,11/05/2020 04:15:10
RWF/KGS,455.59,12/14/2022 18:19:48
ZMK/SDG,98.49,05/30/2022 00:11:19
TRY/CUC,622.01,01/06/2022 01:56:55
AZN/EEK,975.15,05/02/2022 09:09:22
NAD/HRK,9.99,06/29/2023 23:19:46
YER/SAR,267.44,03/18/2022 01:38:54
QAR/ETB,819.10,07/10/2022 21:40:07
MUR/GMD,100.02,10/10/2020 17:01:51
PHP/XOF,945.56,09/22/2022 09:11:34
ILS/JOD,751.24,06/29/2022 01:15:37
GBP/VND,749.86,10/24/2020 17:04:59
PGK/XCD,769.88,05/28/2021 22:40:15
SZL/BDT,519.68,12/19/2020 07:38:56
YER/XAU,684.19,03/14/2023 00:43:53
MVR/XBC,918.52,07/19/2022 05:01:46
GBP/MAD,808.77,07/02/2023 15:23:12
JMD/HRK,200.16,08/09/2023 01:00:09
SVC/INR,250.90,03/20/2023 15:14:15
GIP/HUF,917.88,04/21/2023 12:13:05
SHP/CZK,337.82,04/20/2021 07:56:36
SLL/AOA,477.33,05/28/2023 02:13:42
XCD/BOB,456.68,05/13/2023 00:03:10
LYD/KZT,363.11,12/28/2021 03:06:02
XDR/PYG,602.68,08/02/2022 04:05:24
SRD/TND,105.23,06/10/2023 06:10:39
PEN/NIO,847.76,06/07/2021 20:15:29
MXN/TOP,169.60,02/14/2023 22:49:03
TMT/PHP,157.78,08/14/2021 05:57:39
MXN/ISK,734.70,07/04/2021 14:44:01
SVC/DOP,107.60,05/27/2022 09:58:32
SCR/LRD,80.35,01/07/2023 07:29:16
HNL/NOK,915.55,02/18/2023 09:27:16
XBC/LKR,734.26,07/17/2022 14:50:12
CRC/ZWL,45.13,11/26/2020 05:48:49
CZK/ERN,829.34,09/01/2022 22:35:07
EGP/MZN,59.50,10/11/2020 23:29:48
DZD/MDL,964.83,04/15/2023 23:26:20
XPF/LBP,761.85,06/22/2021 13:15:01
PGK/BGN,135.93,03/14/2023 20:30:29
GEL/FJD,547.05,05/20/2022 03:04:40
MAD/VUV,941.72,07/18/2023 03:40:45
CZK/AZN,857.74,07/18/2023 08:34:44
LSL/ERN,65.45,01/26/2022 18:28:20
BIF/TRY,435.37,07/06/2023 04:21:54
PAB/IDR,709.00,01/31/2021 03:32:16
ANG/XFU,200.91,07/24/2023 01:48:33
GNF/ISK,578.99,09/11/2022 09:44:59
MAD/XTS,253.12,12/02/2020 18:04:00
KGS/ILS,640.70,07/15/2021 06:39:18
RSD/DJF,11.93,08/20/2023 06:04:32
XCD/GBP,904.61,02/26/2023 18:30:04
SYP/CUC,527.19,10/31/2021 17:44:09
BZD/BIF,791.74,12/29/2020 04:21:06
OMR/CNY,171.64,04/09/2021 17:16:14
TRY/LBP,202.08,11/22/2020 04:05:11
ETB/DJF,860.10,05/18/2021 14:38:08
SEK/CUP,541.25,08/29/2022 05:10:23
LYD/GIP,764.12,04/23/2023 05:13:41
CAD/XBB,960.19,12/16/2021 20:16:54
RWF/GEL,64.69,08/23/2021 23:42:56
XPD/MOP,513.00,12/12/2020 02:16:32
SAR/MXN,670.65,11/22/2020 17:55:59
RSD/GBP,717.78,08/24/2022 14:37:03
PLN/XAU,609.19,04/01/2021 21:01:52
GIP/XPD,750.42,05/15/2023 04:38:02
DJF/CVE,984.22,07/02/2021 14:51:53
CVE/KYD,666.25,08/26/2023 13:52:40
UAH/MZN,417.20,08/22/2021 09:05:45
CUC/NPR,491.89,09/14/2022 13:04:26
ZMK/YER,437.64,11/01/2020 18:48:17
KMF/PEN,664.93,10/08/2022 12:56:46
XBB/WST,633.45,05/12/2023 19:12:14
WST/USD,485.04,08/15/2021 17:47:41
MZN/SLL,211.02,08/13/2022 20:52:07
JOD/PLN,912.38,02/07/2021 13:12:03
BND/VEF,198.87,04/15/2023 10:41:38
NZD/KRW,215.24,07/30/2021 16:37:12
ILS/DJF,178.67,12/24/2022 19:56:10
MYR/NAD,695.04,05/04/2023 20:38:33
ISK/GTQ,693.12,11/26/2020 18:08:06
JPY/TMT,387.39,01/03/2022 14:35:53
TTD/MKD,115.12,01/19/2021 00:49:15
LSL/VND,3.34,08/10/2022 16:56:45
MMK/LBP,537.34,12/10/2020 23:02:22
COP/BBD,179.16,07/25/2023 04:19:51
VUV/ZWL,816.70,10/20/2020 20:41:59
KZT/BHD,929.04,06/14/2022 01:13:56
ZWL/AFN,235.93,03/12/2023 14:16:29
XDR/MAD,123.13,09/14/2020 21:24:55
JPY/GBP,740.08,09/27/2022 15:55:25
MVR/KZT,449.01,07/22/2023 11:13:02
IQD/BAM,61.61,11/22/2022 08:54:17
MXN/CRC,228.65,01/06/2023 17:15:01
BBD/TRY,258.68,06/16/2023 01:02:04
TTD/BAM,126.88,05/18/2021 13:01:49
KPW/CNY,423.30,05/03/2022 18:20:16
RSD/KPW,860.83,09/07/2021 17:25:36
HNL/SAR,961.85,09/08/2023 07:35:25
GBP/XFU,502.11,01/02/2021 20:43:33
TOP/CVE,4.77,02/15/2021 20:45:37
SVC/SLL,994.33,04/30/2023 05:08:00
SBD/NGN,618.60,02/19/2023 16:08:25
SVC/ZWL,31.47,05/04/2023 19:03:52
TTD/ILS,965.27,10/07/2021 20:36:48
MUR/SYP,960.59,04/24/2023 06:41:19
AZN/XCD,400.47,04/19/2023 17:53:16
MNT/JPY,384.35,06/30/2023 00:09:51
BND/BIF,517.53,06/12/2022 10:40:52
HUF/HUF,122.89,12/25/2021 04:15:41
USD/SAR,772.59,03/24/2021 06:03:42
SZL/XBD,503.81,06/25/2021 03:13:37
KRW/NGN,569.56,02/23/2023 15:19:07
FKP/VEF,701.91,12/07/2021 20:33:50
XPF/MOP,998.48,12/06/2022 06:25:05
QAR/AUD,291.62,01/22/2021 10:11:33
UAH/TWD,904.37,12/15/2020 14:25:00
IQD/BDT,39.26,01/05/2023 00:56:28
MUR/MVR,100.83,08/16/2021 15:46:25
CZK/GTQ,602.74,03/15/2021 20:56:21
MXN/VEF,392.25,01/12/2022 16:54:31
DZD/PKR,274.97,11/25/2022 15:33:18
ZAR/MOP,337.01,08/19/2022 02:42:17
BDT/GBP,714.93,06/12/2022 02:29:49
MNT/XPT,825.42,08/03/2023 16:48:55
KRW/SDG,204.37,03/14/2021 18:35:23
PAB/NPR,151.55,06/15/2021 12:18:12
GYD/BMD,263.02,12/26/2020 05:56:53
AFN/SHP,348.48,04/13/2021 00:45:11
SBD/UAH,345.40,06/30/2023 06:51:32
PHP/MAD,426.11,09/15/2020 12:42:06
IRR/MWK,61.01,05/21/2022 08:58:15
KWD/MOP,403.48,11/03/2020 23:05:54
SYP/GEL,902.71,05/15/2021 17:43:37
ALL/LBP,928.77,10/13/2022 03:46:32
LSL/BMD,594.00,04/24/2022 09:38:38
SLL/SYP,617.09,02/13/2023 18:15:44
LRD/XPT,484.99,04/25/2022 14:46:34
LSL/NGN,35.45,06/17/2023 02:15:38
XBA/MXN,686.67,08/03/2023 19:03:21
ZWL/ANG,878.10,01/05/2021 05:32:50
PHP/SVC,461.71,07/14/2022 22:39:04
SEK/BRL,624.97,04/07/2021 01:03:40
ZWL/FKP,466.96,01/10/2023 05:25:20
XAG/TWD,902.76,12/17/2021 13:56:47
COP/ZWL,296.77,02/14/2023 20:31:18
PKR/XOF,611.17,12/26/2022 06:12:52
FKP/XBA,293.87,02/18/2022 03:49:10
ALL/ETB,423.58,08/19/2023 23:32:05
LRD/LTL,631.07,01/29/2021 20:49:36
MMK/CRC,459.30,05/27/2023 13:15:31
TZS/ERN,198.97,01/27/2023 10:56:37
NOK/OMR,626.93,01/09/2023 03:18:56
UYU/XTS,572.05,10/28/2020 01:46:15
BGN/MOP,730.94,01/29/2023 22:23:15
SHP/XCD,772.97,12/12/2021 03:45:32
ZWL/DJF,928.38,11/13/2021 20:49:35
BMD/VEF,111.37,08/27/2021 02:11:00
XAU/FKP,927.87,10/08/2022 11:30:26
GMD/UGX,622.47,02/22/2021 06:48:29
RWF/SDG,811.51,01/29/2021 02:41:49
SAR/ERN,111.38,03/08/2022 11:14:25
HTG/YER,593.38,10/04/2021 11:31:29
PYG/UAH,336.23,07/17/2021 08:27:51
ILS/BBD,912.75,04/30/2023 08:39:19
BTN/ERN,299.93,02/08/2023 11:29:14
KES/KGS,613.75,12/11/2020 14:58:30
RUB/OMR,172.10,05/15/2022 02:02:17
NPR/AMD,944.26,10/28/2021 07:56:23
XAF/BIF,277.05,10/01/2022 15:18:13
ZMK/ETB,208.77,06/04/2023 08:12:52
MUR/UZS,345.80,01/05/2022 12:49:04
MNT/SGD,631.29,04/24/2022 04:20:17
XPD/SOS,435.79,08/15/2022 17:47:42
LSL/SLL,718.67,06/18/2022 21:34:02
DZD/BOB,451.07,07/04/2021 15:31:22
XBC/XPD,427.62,02/27/2022 18:45:49
GBP/BGN,203.78,08/15/2022 03:35:43
XCD/BZD,315.72,08/23/2021 00:46:01
HUF/MXN,809.12,01/25/2021 18:06:00
ARS/SLL,336.37,01/17/2023 17:37:14
XPT/BBD,156.24,03/22/2023 04:52:42
TZS/ZAR,782.31,11/22/2022 10:18:57
CHF/RWF,14.65,01/18/2023 09:03:50
LBP/KMF,562.88,09/30/2020 17:44:43
DKK/SLL,92.82,03/04/2023 13:57:09
BDT/MVR,894.64,04/12/2021 11:03:20
CNY/MYR,366.16,04/18/2023 17:40:36
EGP/CUC,436.27,02/07/2023 22:44:11
PKR/XCD,309.79,12/18/2021 09:06:30
TOP/SCR,291.22,03/19/2023 11:31:46
CLP/MUR,785.62,01/23/2023 20:34:31
HNL/TTD,457.49,04/11/2021 07:32:25
ISK/NGN,461.76,10/10/2022 00:05:14
XPD/LVL,18.69,03/09/2022 09:14:06
AOA/SAR,482.94,07/04/2023 19:24:04
SYP/UAH,194.34,11/04/2020 06:47:19
TWD/LKR,176.78,04/03/2021 22:01:04
GIP/CUP,401.63,03/14/2021 20:44:02
TTD/ARS,686.62,04/26/2021 07:22:27
PLN/BOB,139.54,01/20/2023 06:06:20
PGK/UYU,837.95,12/11/2021 00:34:15
GIP/MZN,379.74,04/01/2022 00:55:49
AED/HRK,508.39,08/23/2021 06:24:57
MNT/SZL,851.64,10/16/2021 15:55:44
XPD/GBP,808.82,04/02/2022 01:46:09
AED/SHP,409.23,10/02/2022 20:46:31
SAR/JPY,866.18,04/22/2021 00:52:52
BGN/PYG,94.88,08/27/2022 22:25:42
IQD/HRK,30.80,06/19/2021 09:54:19
SAR/ANG,421.63,12/02/2021 16:31:40
UYU/AMD,730.56,04/28/2023 01:03:50
XPF/HKD,743.20,12/01/2020 19:11:20
OMR/USD,13.54,10/24/2022 02:10:57
HUF/PHP,193.67,03/25/2022 07:04:47
SAR/SAR,152.90,03/02/2021 11:52:18
NZD/XCD,378.85,06/08/2023 05:28:27
IQD/RON,468.91,07/20/2023 01:59:45
CLP/IDR,810.74,10/22/2020 04:45:43
THB/AOA,294.63,04/15/2021 06:35:40
KES/SOS,114.86,02/28/2022 01:24:49
XDR/BTN,445.00,05/01/2021 01:11:43
NAD/KPW,522.83,11/11/2022 16:16:14
PLN/BGN,836.71,03/22/2021 09:32:44
AED/BOB,608.59,08/02/2022 07:09:38
ARS/SRD,907.51,09/12/2022 06:54:21
KGS/CLP,163.49,06/22/2023 13:04:11
UYU/PLN,443.91,09/27/2021 14:04:12
TMT/PEN,902.53,01/24/2022 08:26:46
MGA/HTG,717.59,07/20/2023 16:45:47
AMD/SHP,590.72,11/26/2022 01:47:15
FKP/AZN,611.79,07/04/2021 03:45:18
TWD/TRY,60.54,01/10/2021 06:06:28
PGK/EGP,420.76,09/11/2021 21:53:18
BSD/GIP,222.42,07/01/2023 00:34:12
UAH/LVL,839.06,07/07/2022 11:02:19
RON/ETB,110.17,05/06/2021 16:58:19
MVR/TRY,9.00,06/23/2022 17:13:54
KGS/TRY,505.20,11/17/2021 03:18:08
KMF/ZMK,499.26,12/21/2021 19:23:06
BYR/HNL,950.22,03/27/2023 13:33:54
PKR/UAH,705.66,12/01/2021 04:06:59
EUR/KPW,372.22,11/07/2020 22:10:09
UYU/BTN,820.40,02/25/2021 06:12:18
PKR/UYU,977.45,03/01/2022 02:23:54
XCD/SAR,301.38,01/20/2021 07:39:27
BAM/XAG,420.00,09/07/2023 15:01:12
BDT/PHP,33.04,12/27/2021 16:04:05
MXN/SZL,104.88,05/09/2022 21:02:55
CHF/UAH,805.49,10/30/2021 12:05:03
WST/CDF,99.68,07/31/2021 20:10:20
GBP/VUV,466.08,03/16/2021 22:55:20
MDL/HKD,943.71,12/21/2020 15:27:35
SVC/XPF,845.40,11/28/2020 01:45:42
SHP/UAH,201.30,01/09/2021 16:42:51
XPF/RON,774.86,10/11/2022 15:43:39
RWF/TJS,173.61,11/19/2021 14:50:03
AWG/BND,62.49,01/02/2022 22:59:54
PYG/AMD,625.14,12/17/2022 20:48:18
HTG/SZL,346.42,02/04/2023 09:36:55
SZL/ILS,762.68,01/28/2023 08:08:00
BIF/SCR,323.82,02/09/2022 13:27:43
XBA/ETB,603.03,09/20/2022 06:12:30
ALL/KMF,519.94,02/22/2022 06:50:55
CHF/GTQ,717.76,12/06/2020 08:18:47
RUB/PEN,454.38,10/10/2020 20:32:53
RUB/BZD,201.97,07/21/2022 22:14:33
BHD/PGK,943.27,03/03/2022 17:03:55
RWF/XAG,999.56,02/21/2021 21:41:20
SEK/CZK,753.95,04/30/2023 16:58:36
BDT/LYD,758.88,03/11/2022 05:11:53
SGD/CHF,225.64,03/26/2023 08:15:38
COP/CVE,284.16,11/21/2021 20:10:12
IQD/MNT,887.95,02/19/2023 17:14:22
QAR/XPD,599.02,05/23/2023 20:44:06
XTS/SEK,294.84,08/28/2022 18:58:26
EGP/RON,124.86,05/04/2022 23:09:04
GEL/EGP,836.66,06/22/2022 22:44:13
KRW/PYG,749.49,11/05/2021 17:42:08
AWG/HNL,363.87,09/11/2023 20:20:32
MVR/USD,361.59,07/15/2023 11:03:23
ARS/XPT,604.76,11/02/2022 00:55:44
TZS/BND,87.88,08/31/2022 18:20:00
GMD/DZD,894.37,09/24/2022 19:12:32
DKK/TZS,338.61,11/30/2020 16:20:06
LTL/XPT,460.35,08/13/2021 05:17:27
BBD/CNY,511.02,01/05/2021 12:24:39
PYG/STN,570.28,04/30/2021 05:12:43
EUR/CRC,366.34,05/14/2021 11:01:57
SCR/GEL,518.31,12/10/2022 10:08:30
COP/RON,331.42,06/15/2023 05:18:34
ALL/RWF,987.81,01/18/2022 21:30:14
RWF/ETB,123.86,04/24/2022 15:18:40
NOK/SYP,751.33,09/09/2022 11:03:36
TTD/MOP,592.06,03/22/2023 00:41:26
YER/CUC,27.88,05/22/2022 09:25:53
AFN/BGN,340.30,09/15/2020 08:55:47
PKR/TZS,997.83,10/26/2020 23:57:03
XAG/GEL,173.63,09/06/2021 05:13:53
MRO/USD,894.73,05/07/2021 15:57:20
BBD/HNL,18.16,02/12/2021 18:09:52
XDR/RSD,935.11,06/21/2023 14:46:11
PLN/EGP,467.83,04/22/2021 03:52:05
XAF/GIP,662.75,07/03/2022 23:14:30
BIF/XPF,591.10,10/05/2021 15:46:45
PLN/KPW,148.74,08/12/2021 03:00:09
ALL/XTS,363.78,05/14/2022 09:51:26
ARS/UYU,668.62,12/22/2022 21:56:25
MDL/MAD,550.74,05/03/2021 13:32:33
WST/GNF,947.50,08/10/2021 20:00:13
XAU/PKR,683.22,03/10/2023 14:17:27
XPF/XBA,27.02,02/10/2021 12:18:54
SDG/NAD,156.71,07/02/2023 17:52:56
AWG/LSL,427.44,06/09/2023 19:53:04
DZD/UZS,857.08,12/17/2022 20:12:15
PKR/ZAR,89.82,02/26/2022 04:31:55
EGP/ILS,642.65,05/06/2022 18:04:27
XTS/BYR,894.34,09/06/2023 01:41:00
STN/ISK,571.96,06/15/2023 09:42:39
LAK/RUB,691.40,01/20/2023 03:24:48
MOP/HRK,174.75,09/25/2021 08:26:02
UGX/KZT,857.16,06/03/2022 03:32:45
XPF/GNF,325.30,12/10/2020 03:12:07
FJD/DJF,788.06,06/17/2022 05:32:39
MOP/CDF,905.78,07/31/2022 13:01:45
XPD/PLN,962.11,05/18/2022 12:37:05
VUV/PGK,324.31,10/21/2021 08:58:18
GHS/GEL,233.99,08/09/2021 04:52:24
KES/MUR,778.46,08/25/2022 13:51:20
KPW/JOD,764.85,03/19/2021 09:06:19
UAH/HKD,966.93,09/26/2020 23:31:46
STN/QAR,46.48,08/16/2023 18:03:46
USD/XAU,4.02,07/30/2023 00:10:58
ISK/CHF,72.40,04/09/2021 23:47:44
XCD/CLP,47.92,03/02/2023 07:35:48
SEK/MKD,959.62,07/14/2022 01:41:11
SAR/SBD,19.24,09/11/2021 11:57:00
EGP/KPW,675.99,03/29/2022 10:48:03
XCD/XBB,168.71,06/19/2022 20:17:53
SEK/DKK,587.69,06/22/2021 07:45:39
CAD/GMD,888.20,05/10/2021 21:23:43
TTD/PHP,593.46,11/09/2020 07:41:01
UAH/ISK,177.65,06/25/2021 08:31:17
GHS/AZN,539.32,01/02/2023 19:03:14
MDL/SVC,546.97,01/13/2023 20:49:49
LYD/LKR,520.04,09/20/2020 14:00:25
GYD/BTN,109.01,04/30/2021 13:54:15
CDF/NAD,850.44,07/18/2022 06:05:46
BRL/KES,310.80,06/26/2021 05:25:17
BTN/EUR,264.79,09/16/2020 09:24:04
PGK/BGN,89.16,11/01/2022 21:03:05
DOP/SLL,503.08,01/14/2021 08:54:40
FKP/DOP,511.56,08/07/2022 06:07:50
KGS/XPF,828.14,04/26/2022 09:02:12
SGD/KGS,364.61,11/27/2021 09:05:15
IRR/MZN,223.63,01/29/2023 08:22:26
HRK/KES,732.89,06/04/2022 02:37:02
VEF/OMR,60.43,01/24/2022 09:48:08
ZWL/NPR,14.29,11/05/2022 06:28:15
GYD/SVC,423.67,05/10/2023 19:43:36
IQD/DJF,700.39,05/22/2023 00:04:28
CLP/IDR,720.99,05/10/2022 15:02:46
